ID,日期,天气状况,最低气温/最高气温,风力风向(夜间/白天)
0,2016年3月1日,晴  /晴,-2℃  /  10℃,无持续风向 ≤3级  /无持续风向 ≤3级
1,2016年3月2日,晴  /霾,2℃  /  17℃,无持续风向 ≤3级  /无持续风向 ≤3级
2,2016年3月3日,霾  /霾,4℃  /  17℃,无持续风向 ≤3级  /无持续风向 ≤3级
3,2016年3月4日,霾  /霾,4℃  /  12℃,无持续风向 ≤3级  /北风 3-4级
4,2016年3月5日,晴  /晴,-1℃  /  12℃,北风 4-5级  /无持续风向 ≤3级
5,2016年3月6日,多云  /晴,-2℃  /  11℃,无持续风向 ≤3级  /无持续风向 ≤3级
6,2016年3月7日,晴  /晴,-1℃  /  12℃,北风 3-4级  /北风 3-4级
7,2016年3月8日,多云  /阴,-2℃  /  6℃,北风 3-4级  /北风 3-4级
8,2016年3月9日,多云  /晴,-4℃  /  5℃,无持续风向 ≤3级  /北风 3-4级
9,2016年3月10日,晴  /晴,-4℃  /  7℃,北风 3-4级  /无持续风向 ≤3级
10,2016年3月11日,晴  /晴,-2℃  /  8℃,无持续风向 ≤3级  /无持续风向 ≤3级
11,2016年3月12日,多云  /晴,1℃  /  9℃,无持续风向 ≤3级  /北风 3-4级
12,2016年3月13日,晴  /晴,-2℃  /  12℃,北风 3-4级  /无持续风向 ≤3级
13,2016年3月14日,晴  /多云,3℃  /  15℃,无持续风向 ≤3级  /无持续风向 ≤3级
14,2016年3月15日,多云  /霾,2℃  /  15℃,无持续风向 ≤3级  /无持续风向 ≤3级
15,2016年3月16日,霾  /霾,6℃  /  17℃,无持续风向 ≤3级  /无持续风向 ≤3级
16,2016年3月17日,霾  /雾,6℃  /  18℃,无持续风向 ≤3级  /无持续风向 ≤3级
17,2016年3月18日,霾  /多云,4℃  /  21℃,无持续风向 ≤3级  /无持续风向 ≤3级
18,2016年3月19日,多云  /多云,3℃  /  16℃,无持续风向 ≤3级  /无持续风向 ≤3级
19,2016年3月20日,多云  /晴,4℃  /  16℃,无持续风向 ≤3级  /无持续风向 ≤3级
20,2016年3月21日,晴  /阴,8℃  /  20℃,无持续风向 ≤3级  /无持续风向 ≤3级
21,2016年3月22日,阴  /多云,5℃  /  14℃,无持续风向 ≤3级  /北风 3-4级
22,2016年3月23日,晴  /晴,2℃  /  15℃,北风 3-4级  /无持续风向 ≤3级
23,2016年3月24日,晴  /晴,3℃  /  15℃,无持续风向 ≤3级  /无持续风向 ≤3级
24,2016年3月25日,晴  /晴,4℃  /  15℃,无持续风向 ≤3级  /北风 3-4级
25,2016年3月26日,晴  /晴,5℃  /  19℃,北风 3-4级  /无持续风向 ≤3级
26,2016年3月27日,晴  /晴,5℃  /  21℃,无持续风向 ≤3级  /无持续风向 ≤3级
27,2016年3月28日,多云  /浮尘,8℃  /  22℃,北风 3-4级  /北风 3-4级
28,2016年3月29日,晴  /晴,7℃  /  22℃,无持续风向 ≤3级  /无持续风向 ≤3级
29,2016年3月30日,晴  /晴,7℃  /  22℃,无持续风向 ≤3级  /无持续风向 ≤3级
30,2016年3月31日,晴  /浮尘,14℃  /  24℃,南风 3-4级  /北风 3-4级
31,2017年3月1日,晴  /晴,-3℃  /  7℃,北风 4-5级  /北风 ≤3级
32,2017年3月2日,晴  /晴,-2℃  /  13℃,南风 3-4级  /南风 ≤3级
33,2017年3月3日,晴  /晴,-2℃  /  14℃,东风 ≤3级  /北风 ≤3级
34,2017年3月4日,晴  /多云,0℃  /  13℃,无持续风向 ≤3级  /北风 3-4级
35,2017年3月5日,晴  /多云,-1℃  /  11℃,西北风 4-5级  /北风 4-5级
36,2017年3月6日,多云  /晴,-3℃  /  9℃,北风 4-5级  /北风 3-4级
37,2017年3月7日,晴  /晴,-1℃  /  8℃,北风 3-4级  /北风 3-4级
38,2017年3月8日,晴  /晴,1℃  /  13℃,北风 3-4级  /北风 ≤3级
39,2017年3月9日,晴  /晴,1℃  /  15℃,南风 ≤3级  /北风 ≤3级
40,2017年3月10日,多云  /阴,3℃  /  17℃,南风 ≤3级  /南风 ≤3级
41,2017年3月11日,阴  /晴,5℃  /  20℃,北风 3-4级  /北风 4-5级
42,2017年3月12日,晴  /晴,1℃  /  13℃,北风 3-4级  /北风 ≤3级
43,2017年3月13日,晴  /晴,2℃  /  14℃,南风 ≤3级  /北风 ≤3级
44,2017年3月14日,晴  /多云,2℃  /  16℃,南风 ≤3级  /北风 ≤3级
45,2017年3月15日,多云  /多云,3℃  /  16℃,南风 ≤3级  /北风 ≤3级
46,2017年3月16日,多云  /阴,6℃  /  17℃,南风 ≤3级  /北风 ≤3级
47,2017年3月17日,阴  /阴,5℃  /  17℃,南风 ≤3级  /北风 ≤3级
48,2017年3月18日,晴  /晴,5℃  /  20℃,南风 ≤3级  /北风 ≤3级
49,2017年3月19日,多云  /阴,7℃  /  17℃,南风 ≤3级  /北风 ≤3级
50,2017年3月20日,小雨  /阴,6℃  /  12℃,东风 3-4级  /东风 ≤3级
51,2017年3月21日,多云  /多云,4℃  /  15℃,南风 ≤3级  /北风 ≤3级
52,2017年3月22日,阴  /小雨,6℃  /  15℃,北风 ≤3级  /东风 ≤3级
53,2017年3月23日,小雨  /小雨,2℃  /  10℃,东风 ≤3级  /北风 ≤3级
